a10_server,https://docs.ansible.com/ansible/latest/modules/a10_server_module.html#a10-server-module,Manage A10 Networks AX/SoftAX/Thunder/vThunder devices’ server object,,,,,,,
a10_server_axapi3,https://docs.ansible.com/ansible/latest/modules/a10_server_axapi3_module.html#a10-server-axapi3-module,Manage A10 Networks AX/SoftAX/Thunder/vThunder devices,,,,,,,
a10_service_group,https://docs.ansible.com/ansible/latest/modules/a10_service_group_module.html#a10-service-group-module,Manage A10 Networks AX/SoftAX/Thunder/vThunder devices’ service groups,,,,,,,
a10_virtual_server,https://docs.ansible.com/ansible/latest/modules/a10_virtual_server_module.html#a10-virtual-server-module,Manage A10 Networks AX/SoftAX/Thunder/vThunder devices’ virtual servers,,,,,,,
aci_aaa_user,https://docs.ansible.com/ansible/latest/modules/aci_aaa_user_module.html#aci-aaa-user-module,Manage AAA users (aaa:User),,,,,,,
aci_aaa_user_certificate,https://docs.ansible.com/ansible/latest/modules/aci_aaa_user_certificate_module.html#aci-aaa-user-certificate-module,Manage AAA user certificates (aaa:UserCert),,,,,,,
aci_access_port_block_to_access_port,https://docs.ansible.com/ansible/latest/modules/aci_access_port_block_to_access_port_module.html#aci-access-port-block-to-access-port-module,Manage port blocks of Fabric interface policy leaf profile interface selectors (infra:HPortS, infra:PortBlk),,,,,,
aci_access_port_to_interface_policy_leaf_profile,https://docs.ansible.com/ansible/latest/modules/aci_access_port_to_interface_policy_leaf_profile_module.html#aci-access-port-to-interface-policy-leaf-profile-module,Manage Fabric interface policy leaf profile interface selectors (infra:HPortS, infra:RsAccBaseGrp, infra:PortBlk),,,,,
aci_access_sub_port_block_to_access_port,https://docs.ansible.com/ansible/latest/modules/aci_access_sub_port_block_to_access_port_module.html#aci-access-sub-port-block-to-access-port-module,Manage sub port blocks of Fabric interface policy leaf profile interface selectors (infra:HPortS, infra:SubPortBlk),,,,,,
aci_aep,https://docs.ansible.com/ansible/latest/modules/aci_aep_module.html#aci-aep-module,Manage attachable Access Entity Profile (AEP) objects (infra:AttEntityP, infra:ProvAcc),,,,,,
aci_aep_to_domain,https://docs.ansible.com/ansible/latest/modules/aci_aep_to_domain_module.html#aci-aep-to-domain-module,Bind AEPs to Physical or Virtual Domains (infra:RsDomP),,,,,,,
aci_ap,https://docs.ansible.com/ansible/latest/modules/aci_ap_module.html#aci-ap-module,Manage top level Application Profile (AP) objects (fv:Ap),,,,,,,
aci_bd,https://docs.ansible.com/ansible/latest/modules/aci_bd_module.html#aci-bd-module,Manage Bridge Domains (BD) objects (fv:BD),,,,,,,
aci_bd_subnet,https://docs.ansible.com/ansible/latest/modules/aci_bd_subnet_module.html#aci-bd-subnet-module,Manage Subnets (fv:Subnet),,,,,,,
aci_bd_to_l3out,https://docs.ansible.com/ansible/latest/modules/aci_bd_to_l3out_module.html#aci-bd-to-l3out-module,Bind Bridge Domain to L3 Out (fv:RsBDToOut),,,,,,,
aci_config_rollback,https://docs.ansible.com/ansible/latest/modules/aci_config_rollback_module.html#aci-config-rollback-module,Provides rollback and rollback preview functionality (config:ImportP),,,,,,,
aci_config_snapshot,https://docs.ansible.com/ansible/latest/modules/aci_config_snapshot_module.html#aci-config-snapshot-module,Manage Config Snapshots (config:Snapshot, config:ExportP),,,,,,
aci_contract,https://docs.ansible.com/ansible/latest/modules/aci_contract_module.html#aci-contract-module,Manage contract resources (vz:BrCP),,,,,,,
aci_contract_subject,https://docs.ansible.com/ansible/latest/modules/aci_contract_subject_module.html#aci-contract-subject-module,Manage initial Contract Subjects (vz:Subj),,,,,,,
aci_contract_subject_to_filter,https://docs.ansible.com/ansible/latest/modules/aci_contract_subject_to_filter_module.html#aci-contract-subject-to-filter-module,Bind Contract Subjects to Filters (vz:RsSubjFiltAtt),,,,,,,
aci_domain,https://docs.ansible.com/ansible/latest/modules/aci_domain_module.html#aci-domain-module,Manage physical, virtual, bridged, routed or FC domain profiles (phys:DomP, vmm:DomP, l2ext:DomP, l3ext:DomP, fc:DomP)
aci_domain_to_encap_pool,https://docs.ansible.com/ansible/latest/modules/aci_domain_to_encap_pool_module.html#aci-domain-to-encap-pool-module,Bind Domain to Encap Pools (infra:RsVlanNs),,,,,,,
aci_domain_to_vlan_pool,https://docs.ansible.com/ansible/latest/modules/aci_domain_to_vlan_pool_module.html#aci-domain-to-vlan-pool-module,Bind Domain to VLAN Pools (infra:RsVlanNs),,,,,,,
aci_encap_pool,https://docs.ansible.com/ansible/latest/modules/aci_encap_pool_module.html#aci-encap-pool-module,Manage encap pools (fvns:VlanInstP, fvns:VxlanInstP, fvns:VsanInstP),,,,,
aci_encap_pool_range,https://docs.ansible.com/ansible/latest/modules/aci_encap_pool_range_module.html#aci-encap-pool-range-module,Manage encap ranges assigned to pools (fvns:EncapBlk, fvns:VsanEncapBlk),,,,,,
aci_epg,https://docs.ansible.com/ansible/latest/modules/aci_epg_module.html#aci-epg-module,Manage End Point Groups (EPG) objects (fv:AEPg),,,,,,,
aci_epg_monitoring_policy,https://docs.ansible.com/ansible/latest/modules/aci_epg_monitoring_policy_module.html#aci-epg-monitoring-policy-module,Manage monitoring policies (mon:EPGPol),,,,,,,
aci_epg_to_contract,https://docs.ansible.com/ansible/latest/modules/aci_epg_to_contract_module.html#aci-epg-to-contract-module,Bind EPGs to Contracts (fv:RsCons, fv:RsProv),,,,,,
aci_epg_to_domain,https://docs.ansible.com/ansible/latest/modules/aci_epg_to_domain_module.html#aci-epg-to-domain-module,Bind EPGs to Domains (fv:RsDomAtt),,,,,,,
aci_fabric_node,https://docs.ansible.com/ansible/latest/modules/aci_fabric_node_module.html#aci-fabric-node-module,Manage Fabric Node Members (fabric:NodeIdentP),,,,,,,
aci_fabric_scheduler,https://docs.ansible.com/ansible/latest/modules/aci_fabric_scheduler_module.html#aci-fabric-scheduler-module,This modules creates ACI schedulers,,,,,,,
aci_filter,https://docs.ansible.com/ansible/latest/modules/aci_filter_module.html#aci-filter-module,Manages top level filter objects (vz:Filter),,,,,,,
aci_filter_entry,https://docs.ansible.com/ansible/latest/modules/aci_filter_entry_module.html#aci-filter-entry-module,Manage filter entries (vz:Entry),,,,,,,
aci_firmware_group,https://docs.ansible.com/ansible/latest/modules/aci_firmware_group_module.html#aci-firmware-group-module,This module creates a firmware group,,,,,,,
aci_firmware_group_node,https://docs.ansible.com/ansible/latest/modules/aci_firmware_group_node_module.html#aci-firmware-group-node-module,This modules adds and remove nodes from the firmware group,,,,,,,
aci_firmware_policy,https://docs.ansible.com/ansible/latest/modules/aci_firmware_policy_module.html#aci-firmware-policy-module,This creates a firmware policy,,,,,,,
aci_firmware_source,https://docs.ansible.com/ansible/latest/modules/aci_firmware_source_module.html#aci-firmware-source-module,Manage firmware image sources (firmware:OSource),,,,,,,
aci_interface_policy_cdp,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_cdp_module.html#aci-interface-policy-cdp-module,Manage CDP interface policies (cdp:IfPol),,,,,,,
aci_interface_policy_fc,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_fc_module.html#aci-interface-policy-fc-module,Manage Fibre Channel interface policies (fc:IfPol),,,,,,,
aci_interface_policy_l2,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_l2_module.html#aci-interface-policy-l2-module,Manage Layer 2 interface policies (l2:IfPol),,,,,,,
aci_interface_policy_leaf_policy_group,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_leaf_policy_group_module.html#aci-interface-policy-leaf-policy-group-module,Manage fabric interface policy leaf policy groups (infra:AccBndlGrp, infra:AccPortGrp),,,,,,
aci_interface_policy_leaf_profile,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_leaf_profile_module.html#aci-interface-policy-leaf-profile-module,Manage fabric interface policy leaf profiles (infra:AccPortP),,,,,,,
aci_interface_policy_lldp,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_lldp_module.html#aci-interface-policy-lldp-module,Manage LLDP interface policies (lldp:IfPol),,,,,,,
aci_interface_policy_mcp,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_mcp_module.html#aci-interface-policy-mcp-module,Manage MCP interface policies (mcp:IfPol),,,,,,,
aci_interface_policy_ospf,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_ospf_module.html#aci-interface-policy-ospf-module,Manage OSPF interface policies (ospf:IfPol),,,,,,,
aci_interface_policy_port_channel,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_port_channel_module.html#aci-interface-policy-port-channel-module,Manage port channel interface policies (lacp:LagPol),,,,,,,
aci_interface_policy_port_security,https://docs.ansible.com/ansible/latest/modules/aci_interface_policy_port_security_module.html#aci-interface-policy-port-security-module,Manage port security (l2:PortSecurityPol),,,,,,,
aci_interface_selector_to_switch_policy_leaf_profile,https://docs.ansible.com/ansible/latest/modules/aci_interface_selector_to_switch_policy_leaf_profile_module.html#aci-interface-selector-to-switch-policy-leaf-profile-module,Bind interface selector profiles to switch policy leaf profiles (infra:RsAccPortP),,,,,,,
aci_l3out,https://docs.ansible.com/ansible/latest/modules/aci_l3out_module.html#aci-l3out-module,Manage Layer 3 Outside (L3Out) objects (l3ext:Out),,,,,,,
